category	int
news	1
newsworld	2
health	3
voices	4
medical	5
weather	6
weathertopstories	7
entertainment	8
gaming	9
newsscienceandtechnology	10
nutrition	11
autos	12
autosenthusiasts	13
wellness	14
health-news	15
celebrity	16
autossuvs	17
sports	18
football_nfl	19
newspolitics	20
travel	21
traveltripideas	22
autosnews	23
newsbusiness	24
golf	25
foodanddrink	26
recipes	27
lifestyle	28
lifestyleroyals	29
weightloss	30
tv	31
tv-gallery	32
basketball_nba	33
lifestylebuzz	34
shop-all	35
newsphotos	36
basketball_ncaa	37
finance	38
finance-real-estate	39
quickandeasy	40
tv-celebrity	41
travelnews	42
movies	43
movies-gallery	44
tipsandtricks	45
autosbuying	46
autostrucks	47
lifestyledidyouknow	48
restaurantsandnews	49
lifestylemindandsoul	50
baseball_mlb	51
finance-saving-investing	52
video	53
viral	54
newstrends	55
lifestylebeauty	56
newsopinion	57
finance-companies	58
lifestyleshopping	59
finance-savemoney	60
mentalhealth	61
lifestylesmartliving	62
fitness	63
autosclassics	64
finance-career	65
newsus	66
lifestylehoroscope	67
newsgoodnews	68
football_ncaa	69
retirement	70
lifestylehomeandgarden	71
ads-lung-health	72
personalfinance	73
causes	74
newsoffbeat	75
videos	76
animals	77
markets	78
shop-holidays	79
finance-top-stocks	80
finance-taxes	81
music	82
musicnews	83
travelarticle	84
more_sports	85
movievideo	86
finance-retirement	87
mma	88
finance-career-education	89
lifestylecareer	90
lifestyledecor	91
racing	92
finance-billstopay	93
movies-celebrity	94
lifestylecelebstyle	95
newscrime	96
newsweather	97
popculture	98
beverages	99
lifestylefamilyandrelationships	100
music-gallery	101
foodnews	102
financenews	103
musicvideos	104
entertainment-books	105
healthagingwell	106
tvnews	107
causes-green-living	108
shop-apparel	109
autosmotorcycles	110
entertainment-celebrity	111
advice	112
factcheck	113
football_nfl_videos	114
lifestyleparenting	115
soccer	116
outdoors	117
music-celebrity	118
baseball_mlb_videos	119
lifestylediy	120
science	121
traveltips	122
autosresearchguides	123
lifestylepets	124
lifestylepetsanimals	125
travel-videos	126
newsfactcheck	127
autossports	128
tennis	129
autosluxury	130
travel-points-rewards	131
humor	132
lifestylecleaningandorganizing	133
lifestylelovesex	134
autossema	135
movienews	136
peopleandplaces	137
foodrecipes	138
football_ncaa_videos	139
icehockey_nhl	140
lifestyleweddings	141
holidays	142
music-awards	143
seasonal	144
hollywood	145
tv-recaps	146
lifestylefamily	147
finance-video	148
boxing-mma	149
kids	150
fun	151
autosreview	152
tvvideos	153
finance-small-business	154
finance-home-loans	155
autosownership	156
autosvideonew	157
boxing	158
games	159
relationships	160
movies-oscars	161
shop-home-goods	162
lifestylefashion	163
causes-food-insecurity	164
lifestylerelationships	165
weight-loss	166
celebritynews	167
autostokyo	168
elections-2020-us	169
finance-insurance	170
healthnews	171
causes-poverty	172
music-grammys	173
lifestyle-wedding	174
autosresearch	175
pregnancyparenting	176
career-news	177
basketball_ncaa_videos	178
autoscompact	179
autoshybrids	180
lifestyle-news-feature	181
finance-education	182
finance-healthcare	183
finance-credit	184
olympics-videos	185
awards	186
basketball_wnba	187
golfvideos	188
autosvans	189
sports_news	190
lifestylevideo	191
autoscartech	192
finance-technology	193
reviews	194
autospassenger	195
middleeast	196
middleeast-top-stories	197
cocktails	198
newstvmedia	199
soccer_mls	200
tunedin	201
ads-latingrammys	202
wines	203
cookingschool	204
newsscience	205
mmaufc	206
causes-animals	207
technologyinvesting	208
narendramodi_opinion	209
finance-homesandpropertysection	210
cooking	211
newsnational	212
movies-awards	213
people-places	214
awardstyle	215
basketball_nba_videos	216
empowering-the-planet	217
company-news	218
soccer_epl	219
newsworldpolitics	220
othersports	221
yearinoffbeatgoodnews	222
newsrealestate	223
lifestyleshoppinghomegarden	224
photos	225
finance-mutual-funds	226
cma-awards	227
causes-environment	228
lifestylehoroscopefish	229
baseball	230
topnews	231
wonder	232
newsother	233
foodtips	234
tv-golden-globes	235
autosvideos	236
causes-disaster-relief	237
finance-auto-insurance	238
weatherfullscreenmaps	239
causes-military-appreciation	240
indepth	241
music-reviews	242
tv-reviews	243
healthyliving	244
lifestylewhatshot	245
lifestylestyle	246
shop-books-movies-tv	247
health-cancer	248
strength	249
newselection2020	250
finance-startinvesting	251
spendingandborrowing	252
ustravel	253
internationaltravel	254
traveltrivia	255
cardio	256
comedy	257
soccer_bund	258
downtime	259
watch	260
tv-golden-globes-video	261
entertainmentmusic	262
northamerica	263
northamerica-video	264
autosmidsize	265
entertainmenttv	266
autoslosangeles	267
celebhub	268
